product_name,city,price,price_unit,date,market_name,source
"Apples","Changzhou",7.87,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Pork","Changzhou",27.78,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Cabbage","Changzhou",2.73,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Carrots","Changzhou",3.54,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Apples","Changzhou",7.59,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Potatoes","Changzhou",3.13,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Rice","Changzhou",4.6,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Potatoes","Changzhou",3.29,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Wheat","Changzhou",3.88,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Beef","Changzhou",45.56,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Rice","Changzhou",4.29,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Pears","Changzhou",6.38,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Rice","Changzhou",3.94,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Tomatoes","Changzhou",5.31,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Cucumbers","Changzhou",3.91,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Carrots","Changzhou",4.04,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Corn","Changzhou",3.48,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Corn","Changzhou",3.58,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Cucumbers","Changzhou",4.23,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Wheat","Changzhou",3.31,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Beef","Changzhou",41.21,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Tomatoes","Changzhou",5.69,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Beef","Changzhou",44.07,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Corn","Changzhou",2.92,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Corn","Changzhou",3.41,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Wheat","Changzhou",3.26,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Cabbage","Changzhou",2.42,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Tomatoes","Changzhou",5.58,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Tomatoes","Changzhou",6.07,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Pears","Changzhou",6.85,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Pears","Changzhou",7.27,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Pears","Changzhou",7.01,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Wheat","Changzhou",3.33,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Pears","Changzhou",6.92,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Tomatoes","Changzhou",6.06,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Chicken","Changzhou",18.45,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Wheat","Changzhou",3.87,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Pork","Changzhou",23.99,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Pork","Changzhou",25.49,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Corn","Changzhou",3.5,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Apples","Changzhou",7.11,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Chicken","Changzhou",18.7,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Beef","Changzhou",45.95,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Beef","Changzhou",43.57,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Potatoes","Changzhou",3.18,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Corn","Changzhou",3.22,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Beef","Changzhou",37.61,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Apples","Changzhou",7.33,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Chicken","Changzhou",18.13,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Cucumbers","Changzhou",3.87,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Carrots","Changzhou",3.5,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Carrots","Changzhou",4.01,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Rice","Changzhou",4.17,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
"Cucumbers","Changzhou",4.36,"CNY/kg",2025-11-11,"Changzhou Agricultural Market","FarmSight Market Data"
